latitude,longitude,title,reference_url,thumbnail_url
-27.827908,-48.568555,"Praia do Defunto",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.834088,-48.563347,"Praia dos Naufragados",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.836914,-48.558873,"Praia do Saco da Baleia",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.829993,-48.545862,"Praia do Saquinho",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.814396,-48.540275,"Praia do Saco do Caldeirão",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.803649,-48.536392,"Praia do Rio das Pacas",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.782712,-48.521636,"Praia do Pântano do Sul",https://www.google.com/imgres?imgurl=https%3A%2F%2Fdestinoflorianopolis.com.br%2Fwp-content%2Fuploads%2F2016%2F07%2FPraia-do-P%25C3%25A2ntano-do-Sul.jpg&imgrefurl=https%3A%2F%2Fdestinoflorianopolis.com.br%2Fpantano-do-sul-sul-da-ilha-floripa%2F&tbnid=5TOynCIXoLXUDM&vet=12ahUKEwiB7oyh2aj6AhXWJrkGHWxBAFkQMygAegUIARDDAQ..i&docid=dqtCjHTnW5YaVM&w=960&h=519&q=Praia%20do%20P%C3%A2ntano%20do%20Sul%20Florian%C3%B3polis&ved=2ahUKEwiB7oyh2aj6AhXWJrkGHWxBAFkQMygAegUIARDDAQ,https://destinoflorianopolis.com.br/wp-content/uploads/2016/07/Praia-do-P%C3%A2ntano-do-Sul.jpg
-27.773181,-48.486289,"Praia da Lagoinha do Leste",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.754656,-48.498534,"Praia do Saco do Matadouro",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.748777,-48.505048,"Praia da Armação",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.716228,-48.503096,"Praia do Morro das Pedras",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.693393,-48.483055,"Praia do Campeche",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.629403,-48.448736,"Praia da Joaquina",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.613440,-48.433477,"Praia do Gravatá",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.603668,-48.433614,"Praia Mole",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.592731,-48.425219,"Praia da Galheta",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.574120,-48.421034,"Prainha do Leste",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.572792,-48.425375,"Praia da Barra da Lagoa",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.494633,-48.396272,"Praia do Moçambique",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.462468,-48.376421,"Praia do Santinho",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.436030,-48.390579,"Praia dos Ingleses",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.398779,-48.413677,"Praia Brava",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.389184,-48.425280,"Praia da lagoinha da Ponta das Canas",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.397875,-48.432756,"Praia da Ponta das Canas",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.416543,-48.430347,"Praia da Cachoeira",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.427386,-48.461162,"Praia de Canasvieiras",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.429218,-48.478112,"Praia de Canajerê",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.437526,-48.495570,"Praia de Jurerê",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.434992,-48.520295,"Praia do Forte",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.445612,-48.526479,"Praia da Ponta Grossa",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.457637,-48.542838,"Praia do Pontal do Jurerê",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
